,Unnamed: 0,winner_wickets,umpire3,team,team2,gender,season,date,competition,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire2,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,outcome,eliminator,date2,neutralvenue,id
557,557,,,Rajasthan Royals,Sunrisers Hyderabad,male,2015,2015/05/07,Indian Premier League,41.0,Brabourne Stadium,Mumbai,Rajasthan Royals,field,EJG Morgan,JD Cloete,C Shamshuddin,PG Pathak,HDPK Dharmasena,J Srinath,Sunrisers Hyderabad,7.0,,,,,557
558,558,6.0,,Chennai Super Kings,Mumbai Indians,male,2015,2015/05/08,Indian Premier League,43.0,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,HH Pandya,CB Gaffaney,CK Nandan,Nitin Menon,K Srinath,RR Jadeja,Mumbai Indians,,,,,,558
559,559,1.0,,Kolkata Knight Riders,Kings XI Punjab,male,2015,2015/05/09,Indian Premier League,44.0,Eden Gardens,Kolkata,Kings XI Punjab,bat,AD Russell,AK Chaudhary,HDPK Dharmasena,A Nand Kishore,K Srinivasan,RS Mahanama,Kolkata Knight Riders,,,,,,559
560,560,,,Delhi Daredevils,Sunrisers Hyderabad,male,2015,2015/05/09,Indian Premier League,45.0,Shaheed Veer Narayan Singh International Stadium,Raipur,Sunrisers Hyderabad,bat,MC Henriques,VA Kulkarni,S Ravi,RM Deshpande,RK Illingworth,RS Madugalle,Sunrisers Hyderabad,6.0,,,,,560
561,561,,,Mumbai Indians,Royal Challengers Bangalore,male,2015,2015/05/10,Indian Premier League,46.0,Wankhede Stadium,Mumbai,Royal Challengers Bangalore,bat,AB de Villiers,JD Cloete,C Shamshuddin,PG Pathak,K Srinath,J Srinath,Royal Challengers Bangalore,39.0,,,,,561
562,562,,,Chennai Super Kings,Rajasthan Royals,male,2015,2015/05/10,Indian Premier League,47.0,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,RA Jadeja,M Erasmus,CK Nandan,Nitin Menon,CB Gaffaney,RR Jadeja,Chennai Super Kings,12.0,,,,,562
563,563,,,Sunrisers Hyderabad,Kings XI Punjab,male,2015,2015/05/11,Indian Premier League,48.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,DA Warner,AK Chaudhary,HDPK Dharmasena,A Nand Kishore,K Srinivasan,RS Mahanama,Sunrisers Hyderabad,5.0,,,,,563
564,564,6.0,,Delhi Daredevils,Chennai Super Kings,male,2015,2015/05/12,Indian Premier League,49.0,Shaheed Veer Narayan Singh International Stadium,Raipur,Chennai Super Kings,bat,Z Khan,RK Illingworth,VA Kulkarni,RM Deshpande,S Ravi,RS Madugalle,Delhi Daredevils,,,,,,564
565,565,,,Kings XI Punjab,Royal Challengers Bangalore,male,2015,2015/05/13,Indian Premier League,50.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Royal Challengers Bangalore,field,AR Patel,JD Cloete,C Shamshuddin,PG Pathak,CK Nandan,J Srinath,Kings XI Punjab,22.0,,,,,565
566,566,,,Mumbai Indians,Kolkata Knight Riders,male,2015,2015/05/14,Indian Premier League,51.0,Wankhede Stadium,Mumbai,Kolkata Knight Riders,field,HH Pandya,RK Illingworth,VA Kulkarni,AY Dandekar,RM Deshpande,RR Jadeja,Mumbai Indians,5.0,,,,,566
567,567,6.0,,Sunrisers Hyderabad,Royal Challengers Bangalore,male,2015,2015/05/15,Indian Premier League,52.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,V Kohli,AK Chaudhary,HDPK Dharmasena,A Nand Kishore,K Srinath,RS Mahanama,Royal Challengers Bangalore,,,,,,567
568,568,7.0,,Kings XI Punjab,Chennai Super Kings,male,2015,2015/05/16,Indian Premier League,53.0,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,P Negi,CK Nandan,C Shamshuddin,VK Sharma,JD Cloete,J Srinath,Chennai Super Kings,,,,,,568
569,569,,,Rajasthan Royals,Kolkata Knight Riders,male,2015,2015/05/16,Indian Premier League,54.0,Brabourne Stadium,Mumbai,Rajasthan Royals,bat,SR Watson,RM Deshpande,RK Illingworth,AY Dandekar,VA Kulkarni,RR Jadeja,Rajasthan Royals,9.0,,,,,569
570,570,,,Royal Challengers Bangalore,Delhi Daredevils,male,2015,2015/05/17,Indian Premier League,55.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,,HDPK Dharmasena,K Srinivasan,Nitin Menon,PG Pathak,RS Madugalle,,,no result,,,,570
571,571,9.0,,Sunrisers Hyderabad,Mumbai Indians,male,2015,2015/05/17,Indian Premier League,56.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,MJ McClenaghan,CB Gaffaney,K Srinath,A Nand Kishore,AK Chaudhary,RS Mahanama,Mumbai Indians,,,,,,571
572,572,,,Chennai Super Kings,Mumbai Indians,male,2015,2015/05/19,Indian Premier League,,Wankhede Stadium,Mumbai,Mumbai Indians,bat,KA Pollard,HDPK Dharmasena,RK Illingworth,CK Nandan,VA Kulkarni,RS Madugalle,Mumbai Indians,25.0,,,,,572
573,573,,,Royal Challengers Bangalore,Rajasthan Royals,male,2015,2015/05/20,Indian Premier League,,Maharashtra Cricket Association Stadium,Pune,Royal Challengers Bangalore,bat,AB de Villiers,AK Chaudhary,C Shamshuddin,K Srinath,CB Gaffaney,RS Mahanama,Royal Challengers Bangalore,71.0,,,,,573
574,574,3.0,,Chennai Super Kings,Royal Challengers Bangalore,male,2015,2015/05/22,Indian Premier League,,JSCA International Stadium Complex,Ranchi,Chennai Super Kings,field,A Nehra,AK Chaudhary,CB Gaffaney,K Srinath,C Shamshuddin,RS Mahanama,Chennai Super Kings,,,,,,574
575,575,,,Mumbai Indians,Chennai Super Kings,male,2015,2015/05/24,Indian Premier League,,Eden Gardens,Kolkata,Chennai Super Kings,field,RG Sharma,HDPK Dharmasena,RK Illingworth,CK Nandan,VA Kulkarni,RS Madugalle,Mumbai Indians,41.0,,,,,575
576,576,9.0,,Mumbai Indians,Rising Pune Supergiants,male,2016,2016/04/09,Indian Premier League,1.0,Wankhede Stadium,Mumbai,Mumbai Indians,bat,AM Rahane,HDPK Dharmasena,CK Nandan,VK Sharma,VA Kulkarni,J Srinath,Rising Pune Supergiants,,,,,,576
577,577,9.0,,Kolkata Knight Riders,Delhi Daredevils,male,2016,2016/04/10,Indian Premier League,2.0,Eden Gardens,Kolkata,Kolkata Knight Riders,field,AD Russell,S Ravi,C Shamshuddin,A Deshmukh,Nitin Menon,M Nayyar,Kolkata Knight Riders,,,,,,577
578,578,5.0,,Kings XI Punjab,Gujarat Lions,male,2016,2016/04/11,Indian Premier League,3.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Gujarat Lions,field,AJ Finch,AK Chaudhary,VA Kulkarni,K Bharatan,A Nand Kishore,Chinmay Sharma,Gujarat Lions,,,,,,578
579,579,,,Royal Challengers Bangalore,Sunrisers Hyderabad,male,2016,2016/04/12,Indian Premier League,4.0,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,field,AB de Villiers,HDPK Dharmasena,VK Sharma,YC Barde,KN Ananthapadmanabhan,J Srinath,Royal Challengers Bangalore,45.0,,,,,579
580,580,6.0,,Kolkata Knight Riders,Mumbai Indians,male,2016,2016/04/13,Indian Premier League,5.0,Eden Gardens,Kolkata,Mumbai Indians,field,RG Sharma,Nitin Menon,S Ravi,Navdeep Singh,C Shamshuddin,M Nayyar,Mumbai Indians,,,,,,580
581,581,7.0,,Gujarat Lions,Rising Pune Supergiants,male,2016,2016/04/14,Indian Premier League,6.0,Saurashtra Cricket Association Stadium,Rajkot,Rising Pune Supergiants,bat,AJ Finch,VA Kulkarni,CK Nandan,K Bharatan,AY Dandekar,Chinmay Sharma,Gujarat Lions,,,,,,581
582,582,8.0,,Delhi Daredevils,Kings XI Punjab,male,2016,2016/04/15,Indian Premier League,7.0,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,A Mishra,S Ravi,C Shamshuddin,Navdeep Singh,Nitin Menon,RS Mahanama,Delhi Daredevils,,,,,,582
583,583,8.0,,Sunrisers Hyderabad,Kolkata Knight Riders,male,2016,2016/04/16,Indian Premier League,8.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,bat,G Gambhir,AK Chaudhary,CK Nandan,A Deshmukh,K Bharatan,J Srinath,Kolkata Knight Riders,,,,,,583
584,584,3.0,,Mumbai Indians,Gujarat Lions,male,2016,2016/04/16,Indian Premier League,9.0,Wankhede Stadium,Mumbai,Gujarat Lions,field,AJ Finch,HDPK Dharmasena,VK Sharma,YC Barde,KN Ananthapadmanabhan,Chinmay Sharma,Gujarat Lions,,,,,,584
585,585,6.0,,Kings XI Punjab,Rising Pune Supergiants,male,2016,2016/04/17,Indian Premier League,10.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Rising Pune Supergiants,bat,M Vohra,S Ravi,C Shamshuddin,Navdeep Singh,Nitin Menon,M Nayyar,Kings XI Punjab,,,,,,585
586,586,7.0,,Royal Challengers Bangalore,Delhi Daredevils,male,2016,2016/04/17,Indian Premier League,11.0,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,Q de Kock,VA Kulkarni,A Nand Kishore,R Pandit,AY Dandekar,RS Mahanama,Delhi Daredevils,,,,,,586
587,587,7.0,,Sunrisers Hyderabad,Mumbai Indians,male,2016,2016/04/18,Indian Premier League,12.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,DA Warner,HDPK Dharmasena,VK Sharma,A Deshmukh,KN Ananthapadmanabhan,J Srinath,Sunrisers Hyderabad,,,,,,587
588,588,6.0,,Kings XI Punjab,Kolkata Knight Riders,male,2016,2016/04/19,Indian Premier League,13.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kolkata Knight Riders,field,RV Uthappa,S Ravi,C Shamshuddin,YC Barde,Nitin Menon,M Nayyar,Kolkata Knight Riders,,,,,,588
589,589,6.0,,Mumbai Indians,Royal Challengers Bangalore,male,2016,2016/04/20,Indian Premier League,14.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,RG Sharma,AK Chaudhary,CK Nandan,R Pandit,A Nand Kishore,RS Mahanama,Mumbai Indians,,,,,,589
590,590,10.0,,Gujarat Lions,Sunrisers Hyderabad,male,2016,2016/04/21,Indian Premier League,15.0,Saurashtra Cricket Association Stadium,Rajkot,Sunrisers Hyderabad,field,B Kumar,K Bharatan,HDPK Dharmasena,A Deshmukh,AY Dandekar,S Chaturvedi,Sunrisers Hyderabad,,,,,,590
591,591,,,Rising Pune Supergiants,Royal Challengers Bangalore,male,2016,2016/04/22,Indian Premier League,16.0,Maharashtra Cricket Association Stadium,Pune,Rising Pune Supergiants,field,AB de Villiers,CB Gaffaney,VK Sharma,YC Barde,KN Ananthapadmanabhan,Chinmay Sharma,Royal Challengers Bangalore,13.0,,,,,591
592,592,,,Delhi Daredevils,Mumbai Indians,male,2016,2016/04/23,Indian Premier League,17.0,Feroz Shah Kotla,Delhi,Mumbai Indians,field,SV Samson,S Ravi,C Shamshuddin,Navdeep Singh,Nitin Menon,M Nayyar,Delhi Daredevils,10.0,,,,,592
593,593,5.0,,Sunrisers Hyderabad,Kings XI Punjab,male,2016,2016/04/23,Indian Premier League,18.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,Mustafizur Rahman,AK Chaudhary,CK Nandan,R Pandit,AY Dandekar,RS Mahanama,Sunrisers Hyderabad,,,,,,593
594,594,6.0,,Gujarat Lions,Royal Challengers Bangalore,male,2016,2016/04/24,Indian Premier League,19.0,Saurashtra Cricket Association Stadium,Rajkot,Royal Challengers Bangalore,bat,V Kohli,K Bharatan,BNJ Oxenford,A Deshmukh,KN Ananthapadmanabhan,S Chaturvedi,Gujarat Lions,,,,,,594
595,595,2.0,,Rising Pune Supergiants,Kolkata Knight Riders,male,2016,2016/04/24,Indian Premier League,20.0,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,field,SA Yadav,CB Gaffaney,A Nand Kishore,YC Barde,VK Sharma,Chinmay Sharma,Kolkata Knight Riders,,,,,,595
596,596,,,Kings XI Punjab,Mumbai Indians,male,2016,2016/04/25,Indian Premier League,21.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,field,PA Patel,Nitin Menon,RJ Tucker,Navdeep Singh,C Shamshuddin,RS Madugalle,Mumbai Indians,25.0,,,,,596
597,597,,,Sunrisers Hyderabad,Rising Pune Supergiants,male,2016,2016/04/26,Indian Premier League,22.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rising Pune Supergiants,field,AB Dinda,AY Dandekar,CK Nandan,YC Barde,HDPK Dharmasena,Amit Sharma,Rising Pune Supergiants,34.0,,,,,597
598,598,,,Delhi Daredevils,Gujarat Lions,male,2016,2016/04/27,Indian Premier League,23.0,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,CH Morris,M Erasmus,S Ravi,A Deshmukh,AK Chaudhary,J Srinath,Gujarat Lions,1.0,,,,,598
599,599,6.0,,Mumbai Indians,Kolkata Knight Riders,male,2016,2016/04/28,Indian Premier League,24.0,Wankhede Stadium,Mumbai,Mumbai Indians,field,RG Sharma,Nitin Menon,RJ Tucker,Navdeep Singh,C Shamshuddin,RS Madugalle,Mumbai Indians,,,,,,599
600,600,3.0,,Rising Pune Supergiants,Gujarat Lions,male,2016,2016/04/29,Indian Premier League,25.0,Maharashtra Cricket Association Stadium,Pune,Gujarat Lions,field,DR Smith,CB Gaffaney,BNJ Oxenford,VK Sharma,A Nand Kishore,Chinmay Sharma,Gujarat Lions,,,,,,600
601,601,,,Delhi Daredevils,Kolkata Knight Riders,male,2016,2016/04/30,Indian Premier League,26.0,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,field,CR Brathwaite,KN Ananthapadmanabhan,M Erasmus,A Deshmukh,S Ravi,J Srinath,Delhi Daredevils,27.0,,,,,601
602,602,,,Sunrisers Hyderabad,Royal Challengers Bangalore,male,2016,2016/04/30,Indian Premier League,27.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,DA Warner,AK Chaudhary,HDPK Dharmasena,R Pandit,CK Nandan,RS Mahanama,Sunrisers Hyderabad,15.0,,,,,602
603,603,,,Gujarat Lions,Kings XI Punjab,male,2016,2016/05/01,Indian Premier League,28.0,Saurashtra Cricket Association Stadium,Rajkot,Gujarat Lions,field,AR Patel,BNJ Oxenford,VK Sharma,YC Barde,CB Gaffaney,M Nayyar,Kings XI Punjab,23.0,,,,,603
604,604,8.0,,Rising Pune Supergiants,Mumbai Indians,male,2016,2016/05/01,Indian Premier League,29.0,Maharashtra Cricket Association Stadium,Pune,Mumbai Indians,field,RG Sharma,AY Dandekar,RJ Tucker,Navdeep Singh,Nitin Menon,RS Madugalle,Mumbai Indians,,,,,,604
605,605,5.0,,Royal Challengers Bangalore,Kolkata Knight Riders,male,2016,2016/05/02,Indian Premier League,30.0,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,field,AD Russell,M Erasmus,S Ravi,A Deshmukh,K Bharatan,J Srinath,Kolkata Knight Riders,,,,,,605
606,606,8.0,,Gujarat Lions,Delhi Daredevils,male,2016,2016/05/03,Indian Premier League,31.0,Saurashtra Cricket Association Stadium,Rajkot,Delhi Daredevils,field,RR Pant,CB Gaffaney,BNJ Oxenford,YC Barde,A Nand Kishore,M Nayyar,Delhi Daredevils,,,,,,606
607,607,,,Kolkata Knight Riders,Kings XI Punjab,male,2016,2016/05/04,Indian Premier League,32.0,Eden Gardens,Kolkata,Kings XI Punjab,field,AD Russell,AK Chaudhary,HDPK Dharmasena,R Pandit,CK Nandan,Amit Sharma,Kolkata Knight Riders,7.0,,,,,607
608,608,7.0,,Delhi Daredevils,Rising Pune Supergiants,male,2016,2016/05/05,Indian Premier League,33.0,Feroz Shah Kotla,Delhi,Rising Pune Supergiants,field,AM Rahane,C Shamshuddin,RJ Tucker,Navdeep Singh,AY Dandekar,RS Madugalle,Rising Pune Supergiants,,,,,,608
609,609,5.0,,Sunrisers Hyderabad,Gujarat Lions,male,2016,2016/05/06,Indian Premier League,34.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Sunrisers Hyderabad,field,B Kumar,M Erasmus,S Ravi,A Deshmukh,KN Ananthapadmanabhan,J Srinath,Sunrisers Hyderabad,,,,,,609
610,610,7.0,,Royal Challengers Bangalore,Rising Pune Supergiants,male,2016,2016/05/07,Indian Premier League,35.0,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,V Kohli,CB Gaffaney,BNJ Oxenford,YC Barde,A Nand Kishore,Chinmay Sharma,Royal Challengers Bangalore,,,,,,610
611,611,,,Kings XI Punjab,Delhi Daredevils,male,2016,2016/05/07,Indian Premier League,36.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Delhi Daredevils,field,MP Stoinis,HDPK Dharmasena,CK Nandan,R Pandit,AK Chaudhary,RS Mahanama,Kings XI Punjab,9.0,,,,,611
612,612,,,Mumbai Indians,Sunrisers Hyderabad,male,2016,2016/05/08,Indian Premier League,37.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Mumbai Indians,field,A Nehra,S Ravi,C Shamshuddin,Navdeep Singh,Nitin Menon,RS Madugalle,Sunrisers Hyderabad,85.0,,,,,612
613,613,5.0,,Kolkata Knight Riders,Gujarat Lions,male,2016,2016/05/08,Indian Premier League,38.0,Eden Gardens,Kolkata,Gujarat Lions,field,P Kumar,M Erasmus,RJ Tucker,KN Ananthapadmanabhan,K Bharatan,J Srinath,Gujarat Lions,,,,,,613
614,614,,,Kings XI Punjab,Royal Challengers Bangalore,male,2016,2016/05/09,Indian Premier League,39.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,field,SR Watson,AK Chaudhary,HDPK Dharmasena,R Pandit,CK Nandan,Amit Sharma,Royal Challengers Bangalore,1.0,,,,,614
615,615,,,Rising Pune Supergiants,Sunrisers Hyderabad,male,2016,2016/05/10,Indian Premier League,40.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Sunrisers Hyderabad,bat,A Zampa,CB Gaffaney,VK Sharma,YC Barde,BNJ Oxenford,S Chaturvedi,Sunrisers Hyderabad,4.0,,,,,615
616,616,6.0,,Royal Challengers Bangalore,Mumbai Indians,male,2016,2016/05/11,Indian Premier League,41.0,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,KH Pandya,AY Dandekar,C Shamshuddin,Navdeep Singh,RJ Tucker,RS Madugalle,Mumbai Indians,,,,,,616
617,617,7.0,,Sunrisers Hyderabad,Delhi Daredevils,male,2016,2016/05/12,Indian Premier League,42.0,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Delhi Daredevils,field,CH Morris,K Bharatan,M Erasmus,A Deshmukh,KN Ananthapadmanabhan,J Srinath,Delhi Daredevils,,,,,,617
618,618,7.0,,Mumbai Indians,Kings XI Punjab,male,2016,2016/05/13,Indian Premier League,43.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Mumbai Indians,bat,MP Stoinis,HDPK Dharmasena,CK Nandan,R Pandit,AK Chaudhary,RS Mahanama,Kings XI Punjab,,,,,,618
619,619,,,Royal Challengers Bangalore,Gujarat Lions,male,2016,2016/05/14,Indian Premier League,44.0,M Chinnaswamy Stadium,Bangalore,Gujarat Lions,field,AB de Villiers,AY Dandekar,VK Sharma,Navdeep Singh,C Shamshuddin,RS Madugalle,Royal Challengers Bangalore,144.0,,,,,619
620,620,8.0,,Kolkata Knight Riders,Rising Pune Supergiants,male,2016,2016/05/14,Indian Premier League,45.0,Eden Gardens,Kolkata,Rising Pune Supergiants,bat,YK Pathan,A Nand Kishore,BNJ Oxenford,YC Barde,CB Gaffaney,Chinmay Sharma,Kolkata Knight Riders,,,,,,620
621,621,7.0,,Kings XI Punjab,Sunrisers Hyderabad,male,2016,2016/05/15,Indian Premier League,46.0,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,HM Amla,KN Ananthapadmanabhan,M Erasmus,A Deshmukh,K Bharatan,M Nayyar,Sunrisers Hyderabad,,,,,,621
622,622,,,Mumbai Indians,Delhi Daredevils,male,2016,2016/05/15,Indian Premier League,47.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Delhi Daredevils,field,KH Pandya,Nitin Menon,CK Nandan,R Pandit,AK Chaudhary,Amit Sharma,Mumbai Indians,80.0,,,,,622
623,623,9.0,,Kolkata Knight Riders,Royal Challengers Bangalore,male,2016,2016/05/16,Indian Premier League,48.0,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,V Kohli,CB Gaffaney,A Nand Kishore,YC Barde,BNJ Oxenford,Chinmay Sharma,Royal Challengers Bangalore,,,,,,623
624,624,,,Rising Pune Supergiants,Delhi Daredevils,male,2016,2016/05/17,Indian Premier League,49.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Rising Pune Supergiants,field,AB Dinda,Nitin Menon,C Shamshuddin,Navdeep Singh,HDPK Dharmasena,RS Mahanama,Rising Pune Supergiants,19.0,,,,,624
625,625,,,Royal Challengers Bangalore,Kings XI Punjab,male,2016,2016/05/18,Indian Premier League,50.0,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,field,V Kohli,KN Ananthapadmanabhan,M Erasmus,A Deshmukh,K Bharatan,M Nayyar,Royal Challengers Bangalore,82.0,,,,,625
626,626,6.0,,Gujarat Lions,Kolkata Knight Riders,male,2016,2016/05/19,Indian Premier League,51.0,Green Park,Kanpur,Gujarat Lions,field,DR Smith,AK Chaudhary,CK Nandan,R Pandit,AY Dandekar,RS Mahanama,Gujarat Lions,,,,,,626
627,627,6.0,,Delhi Daredevils,Sunrisers Hyderabad,male,2016,2016/05/20,Indian Premier League,52.0,Shaheed Veer Narayan Singh International Stadium,Raipur,Delhi Daredevils,field,KK Nair,A Nand Kishore,BNJ Oxenford,YC Barde,VK Sharma,S Chaturvedi,Delhi Daredevils,,,,,,627
628,628,4.0,,Rising Pune Supergiants,Kings XI Punjab,male,2016,2016/05/21,Indian Premier League,53.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Kings XI Punjab,bat,MS Dhoni,HDPK Dharmasena,Nitin Menon,Navdeep Singh,C Shamshuddin,RS Madugalle,Rising Pune Supergiants,,,,,,628
629,629,6.0,,Gujarat Lions,Mumbai Indians,male,2016,2016/05/21,Indian Premier League,54.0,Green Park,Kanpur,Gujarat Lions,field,SK Raina,AK Chaudhary,CK Nandan,R Pandit,AY Dandekar,RS Mahanama,Gujarat Lions,,,,,,629
630,630,,,Kolkata Knight Riders,Sunrisers Hyderabad,male,2016,2016/05/22,Indian Premier League,55.0,Eden Gardens,Kolkata,Sunrisers Hyderabad,field,YK Pathan,KN Ananthapadmanabhan,M Erasmus,A Deshmukh,K Bharatan,J Srinath,Kolkata Knight Riders,22.0,,,,,630
631,631,6.0,,Delhi Daredevils,Royal Challengers Bangalore,male,2016,2016/05/22,Indian Premier League,56.0,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,field,V Kohli,A Nand Kishore,BNJ Oxenford,YC Barde,VK Sharma,Chinmay Sharma,Royal Challengers Bangalore,,,,,,631
632,632,4.0,,Gujarat Lions,Royal Challengers Bangalore,male,2016,2016/05/24,Indian Premier League,,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,AB de Villiers,AK Chaudhary,HDPK Dharmasena,A Deshmukh,BNJ Oxenford,RS Mahanama,Royal Challengers Bangalore,,,,,,632
633,633,,,Sunrisers Hyderabad,Kolkata Knight Riders,male,2016,2016/05/25,Indian Premier League,,Feroz Shah Kotla,Delhi,Kolkata Knight Riders,field,MC Henriques,M Erasmus,C Shamshuddin,Navdeep Singh,CK Nandan,RS Mahanama,Sunrisers Hyderabad,22.0,,,,,633
634,634,4.0,,Gujarat Lions,Sunrisers Hyderabad,male,2016,2016/05/27,Indian Premier League,,Feroz Shah Kotla,Delhi,Sunrisers Hyderabad,field,DA Warner,M Erasmus,CK Nandan,Navdeep Singh,C Shamshuddin,RS Mahanama,Sunrisers Hyderabad,,,,,,634
635,635,,,Royal Challengers Bangalore,Sunrisers Hyderabad,male,2016,2016/05/29,Indian Premier League,,M Chinnaswamy Stadium,Bangalore,Sunrisers Hyderabad,bat,BCJ Cutting,HDPK Dharmasena,BNJ Oxenford,A Deshmukh,AK Chaudhary,RS Madugalle,Sunrisers Hyderabad,8.0,,,,,635
